Sl. No. 	Date	Cheque No.	Description	Amount	Category	Balance
1	12-Feb-26		NEFT SCBLH04300735417 HITACHI INDIA PRIVATE LIMIT (Ref# NEFTINW-1490597749)	1,35,641.24 	Salary	1,42,306.82 
2	27-Feb-26		NEFT SCBLH05801344021 HITACHI INDIA PRIVATE LIMIT (Ref# NEFTINW-1505524160)	2,84,808.00 	Salary	2,90,694.93 
3	30-Mar-26		NEFT SCBLH08901652214 HITACHI INDIA PRIVATE LIMIT (Ref# NEFTINW-1538350687)	2,80,794.00 	Salary	3,57,533.27 
4	30-Apr-26		NEFT SCBLH12001478134 HITACHI INDIA PRIVATE LIMIT (Ref# NEFTINW-1571007472)	3,04,300.00 	Salary	3,04,545.66 
